imdbId,Imdb Link,Title,IMDB Score,Genre,Poster
tt0024252,http://www.imdb.com/title/tt24252,Liebelei (1933),7.7,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjA3NDQ2MDQ3OV5BMl5BanBnXkFtZTgwNjk2OTgzMjE@._V1_UY268_CR3,0,182,268_AL_.jpg"
tt0025316,http://www.imdb.com/title/tt25316,It Happened One Night (1934),8.2,Comedy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BZmViYmM5OTYtNGQ4Ny00YjQyLThiNjEtYTE4MGZhZTNmZjcyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0025164,http://www.imdb.com/title/tt25164,The Gay Divorcee (1934),7.6,Comedy|Musical|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MjcxMjU0OV5BMl5BanBnXkFtZTgwODY0OTgxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0017350,http://www.imdb.com/title/tt17350,The Scarlet Letter (1926),7.8,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwNjU1NTc2Ml5BMl5BanBnXkFtZTgwMzE5NzM2MzE@._V1_UY268_CR9,0,182,268_AL_.jpg"
tt0025586,http://www.imdb.com/title/tt25586,Of Human Bondage (1934),7.3,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMmQyOGJlZDAtMmQ0MS00MDc3LTg4NzktNjQwZGRkMmE0YjExXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY268_CR13,0,182,268_AL_.jpg"
tt0022879,http://www.imdb.com/title/tt22879,A Farewell to Arms (1932),6.6,Drama|Romance|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzM2ODc0NTY3OF5BMl5BanBnXkFtZTgwMjQwNzkzMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0023969,http://www.imdb.com/title/tt23969,Duck Soup (1933),8.0,Comedy|Musical|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BYmYxZGU2NWYtNzQxZS00NmEyLWIzN2YtMDk5MWM0ODc5ZTE4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0022100,http://www.imdb.com/title/tt22100,M (1931),8.4,Crime|Drama|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNjA5NzU5MV5BMl5BanBnXkFtZTgwMDk1MTA5MTE@._V1_UY268_CR3,0,182,268_AL_.jpg"
tt0013442,http://www.imdb.com/title/tt13442,Nosferatu (1922),8.0,Fantasy|Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTFhNzc2OWYtYTlkMi00ZTNhLWJhMmMtMmM1MTUzMTlkZThmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY268_CR9,0,182,268_AL_.jpg"
tt0018578,http://www.imdb.com/title/tt18578,Wings (1927),7.8,Drama|Romance|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzY5Nzk5NzA3M15BMl5BanBnXkFtZTgwMzA5NzM2MzE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0019729,http://www.imdb.com/title/tt19729,The Broadway Melody (1929),6.3,Drama|Musical|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MjA4ODg5NF5BMl5BanBnXkFtZTgwMDk4MDY0MjE@._V1_UY268_CR9,0,182,268_AL_.jpg"
tt0020629,http://www.imdb.com/title/tt20629,All Quiet on the Western Front (1930),8.1,Drama|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTM5OTg2NDY1NF5BMl5BanBnXkFtZTcwNTQ4MTMwNw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021746,http://www.imdb.com/title/tt21746,Cimarron (1931),6.0,Drama|Western,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExODI2MjE4NF5BMl5BanBnXkFtZTgwMDA2NTAwMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0022958,http://www.imdb.com/title/tt22958,Grand Hotel (1932),7.6,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNDc4MDcwNF5BMl5BanBnXkFtZTgwNzY0MjUzMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0023876,http://www.imdb.com/title/tt23876,Cavalcade (1933),6.0,Drama|Romance|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM1MjQyNDgxMl5BMl5BanBnXkFtZTgwMjgxMDE5MjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0017136,http://www.imdb.com/title/tt17136,Metropolis (1927),8.3,Drama|Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDAzNTkyODg1MF5BMl5BanBnXkFtZTgwMDA3NDkwMDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0019422,http://www.imdb.com/title/tt19422,Steamboat Willie (1928),7.7,Animation|Family|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTkzMTIzMTQzNV5BMl5BanBnXkFtZTgwMzk4NzYwMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0025452,http://www.imdb.com/title/tt25452,The Man Who Knew Too Much (1934),6.9,Crime|Mystery|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BZWY2ODJhOTYtMTE1My00OTBiLTliZTgtNWIwZWIyMWNjODczXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0024747,http://www.imdb.com/title/tt24747,Strauss' Great Waltz (1934),6.0,Biography|Music|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMzgwMzM5MV5BMl5BanBnXkFtZTgwMzkzNjA1MjE@._V1_UY268_CR11,0,182,268_AL_.jpg"
tt0023285,http://www.imdb.com/title/tt23285,Number 17 (1932),5.8,Crime|Mystery|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2YzYWExOTMtZDRkNi00MTdmLTgyOTQtZmY2ZTA5NWQ0YzU5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY268_CR1,0,182,268_AL_.jpg"
tt0023395,http://www.imdb.com/title/tt23395,East of Shanghai (1931),5.9,Comedy|Romance|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNDU2Mzk2NV5BMl5BanBnXkFtZTgwMDMyMDU4MTE@._V1_UY268_CR3,0,182,268_AL_.jpg"
tt0022395,http://www.imdb.com/title/tt22395,The Skin Game (1931),5.8,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5MjcwNzI4N15BMl5BanBnXkFtZTgwODQ2NjA4MzE@._V1_UY268_CR4,0,182,268_AL_.jpg"
tt0020852,http://www.imdb.com/title/tt20852,Elstree Calling (1930),5.9,Comedy|Musical,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNzE3MzM4NV5BMl5BanBnXkFtZTcwOTk5OTY1NQ@@._V1._CR40,43,276,400_UY268_CR1,0,182,268_AL_.jpg"
tt0021015,http://www.imdb.com/title/tt21015,The Shame of Mary Boyle (1929),4.7,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTNiOGIzNDQtZDI3Zi00MmExLTg2ZDYtNzllMTQ3MGRiODFhXkEyXkFqcGdeQXVyMTAwMDAwMA@@._V1_UY268_CR5,0,182,268_AL_.jpg"
